platform_id,language_id,country_id,layout_id,klo,klid,apple_id,cldr,status_id
1,fr,"Country(alpha_2='CA', alpha_3='CAN', flag='🇨🇦', name='Canada', numeric='124')",qwerty,m-fr-CA,,com.apple.keylayout.Canadian-CSA,,active
1,fa,"Country(alpha_2='IR', alpha_3='IRN', common_name='Iran', flag='🇮🇷', name='Iran, Islamic Republic of', numeric='364', official_name='Islamic Republic of Iran')",ضصثقفغ,m-fa-IR,,com.apple.keylayout.Persian-ISIRI2901,,active
1,gu,"Country(alpha_2='IN', alpha_3='IND', flag='🇮🇳', name='India', numeric='356', official_name='Republic of India')",ૌૈાીૂબ,m-gu-IN,,com.apple.keylayout.Gujarati,,active
1,sr,"Country(alpha_2='RS', alpha_3='SRB', flag='🇷🇸', name='Serbia', numeric='688', official_name='Republic of Serbia')",љњертз,m-sr-RS-1,,com.apple.keylayout.Serbian,,active
1,da,"Country(alpha_2='DK', alpha_3='DNK', flag='🇩🇰', name='Denmark', numeric='208', official_name='Kingdom of Denmark')",qwerty,m-da-DK,,com.apple.keylayout.Danish,,active
1,cs,"Country(alpha_2='CZ', alpha_3='CZE', flag='🇨🇿', name='Czechia', numeric='203', official_name='Czech Republic')",qwerty,m-cs-CZ,,com.apple.keylayout.Czech-QWERTY,,active
1,nl,"Country(alpha_2='NL', alpha_3='NLD', flag='🇳🇱', name='Netherlands', numeric='528', official_name='Kingdom of the Netherlands')",qwerty,m-nl-NL,,com.apple.keylayout.Dutch,,active
1,hi,"Country(alpha_2='IN', alpha_3='IND', flag='🇮🇳', name='India', numeric='356', official_name='Republic of India')",ौैाीूब,m-hi-IN-1,,com.apple.keylayout.Devanagari,,active
1,fa,"Country(alpha_2='IR', alpha_3='IRN', common_name='Iran', flag='🇮🇷', name='Iran, Islamic Republic of', numeric='364', official_name='Islamic Republic of Iran')",ضصثقفغ,m-fa-IR-1,,com.apple.keylayout.Persian,,active
1,se,X,ášertŧ,m-se-X,,com.apple.keylayout.NorthernSami,,active
1,ne,"Country(alpha_2='NP', alpha_3='NPL', flag='🇳🇵', name='Nepal', numeric='524', official_name='Federal Democratic Republic of Nepal')",ऊधभचतथ,m-ne-NP,,com.apple.keylayout.Nepali,,active
1,hy,"Country(alpha_2='AM', alpha_3='ARM', flag='🇦🇲', name='Armenia', numeric='051', official_name='Republic of Armenia')",խվէրդե,m-hy-AM-1,,com.apple.keylayout.Armenian-WesternQWERTY,,active
1,chr,"Country(alpha_2='US', alpha_3='USA', flag='🇺🇸', name='United States', numeric='840', official_name='United States of America')",qwerty,m-chr-US,,com.apple.keylayout.Cherokee-Nation,,active
1,bg,"Country(alpha_2='BG', alpha_3='BGR', flag='🇧🇬', name='Bulgaria', numeric='100', official_name='Republic of Bulgaria')",яверты,m-bg-BG-1,,com.apple.keylayout.Bulgarian-Phonetic,,active
1,chr,"Country(alpha_2='US', alpha_3='USA', flag='🇺🇸', name='United States', numeric='840', official_name='United States of America')",qwerty,m-chr-US-1,,com.apple.keylayout.Cherokee-QWERTY,,active
1,pl,"Country(alpha_2='PL', alpha_3='POL', flag='🇵🇱', name='Poland', numeric='616', official_name='Republic of Poland')",qwertz,m-pl-PL,,com.apple.keylayout.PolishPro,,active
1,en,"Country(alpha_2='GB', alpha_3='GBR', flag='🇬🇧', name='United Kingdom', numeric='826', official_name='United Kingdom of Great Britain and Northern Ireland')",qwerty,m-en-GB,,com.apple.keylayout.British,,active
1,ga,"Country(alpha_2='IE', alpha_3='IRL', flag='🇮🇪', name='Ireland', numeric='372')",qwerty,m-ga-IE-1,,com.apple.keylayout.Irish,,active
1,ar,X,ضصثقفغ,m-ar-X-1,,com.apple.keylayout.Arabic,,active
1,vi,"Country(alpha_2='VN', alpha_3='VNM', common_name='Vietnam', flag='🇻🇳', name='Viet Nam', numeric='704', official_name='Socialist Republic of Viet Nam')",qw?rt?,m-vi-VN,,com.apple.keylayout.Vietnamese,,active
